"empresa","ano","receita_liquida","lucro_liquido"
AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2021-12-31,32820208.00,333037.00
AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2022-12-31,48330081.00,-19148900.00
AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2023-12-31,40763000.00,-15492000.00
GRUPO CASAS BAHIA S.A.,2021-12-31,59800000.00,707000.00
GRUPO CASAS BAHIA S.A.,2022-12-31,61797000.00,-639000.00
GRUPO CASAS BAHIA S.A.,2023-12-31,59745000.00,-2967000.00
LOJAS RENNER S.A.,2021-12-31,36217472.00,1729381.00
LOJAS RENNER S.A.,2022-12-31,47685406.00,1924816.00
LOJAS RENNER S.A.,2023-12-31,53837972.00,2267963.00
MAGAZINE LUIZA S.A.,2021-12-31,64455263.00,982370.00
MAGAZINE LUIZA S.A.,2022-12-31,72577152.00,91686.00
MAGAZINE LUIZA S.A.,2023-12-31,74067151.00,-1478079.00
